Désignation;Type de médicament;Laboratoire
ACTI 5  solution buvable en ampoule;solution buvable;PIERRE FABRE MEDICAMENT
ACTICARBINE 70 mg  comprimé enrobé;comprimé enrobé;ELERTE
ACTICARBINE  comprimé enrobé;comprimé enrobé;ELERTE
ACTIFED ALLERGIE CETIRIZINE 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
ACTIFED ETATS GRIPPAUX  poudre pour solution buvable en sachet-dose;poudre pour solution buvable;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
ACTIFED LP RHINITE ALLERGIQUE  comprimé pelliculé à libération prolongée;comprimé pelliculé à libération prolongée;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
ACTIFED RHUME JOUR ET NUIT  comprimé;comprimé et  comprimé;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
ACTIFED RHUME  comprimé;comprimé;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
ACTIFEDSIGN  gélule;gélule;JOHNSON & JOHNSON SANTE BEAUTE FRANCE
ACTILYSE 2 mg  poudre pour solution injectable et perfusion;poudre pour solution injectable et pour perfusion;BOEHRINGER INGELHEIM FRANCE
ACTILYSE  poudre et solvant pour solution injectable et perfusion;poudre et  solvant pour solution injectable et pour perfusion;BOEHRINGER INGELHEIM FRANCE
ACTIQ 1200 microgrammes  comprimé avec applicateur buccal;comprimé;TEVA PHARMA (PAYS-BAS)
ACTIQ 1600 microgrammes  comprimé avec applicateur buccal;comprimé;TEVA PHARMA (PAYS-BAS)
ACTIQ 200 microgrammes  comprimé avec applicateur buccal;comprimé;TEVA PHARMA (PAYS-BAS)
ACTIQ 400 microgrammes  comprimé avec applicateur buccal;comprimé;TEVA PHARMA (PAYS-BAS)
ACTIQ 600 microgrammes  comprimé avec applicateur buccal;comprimé;TEVA PHARMA (PAYS-BAS)
ACTIQ 800 microgrammes  comprimé avec applicateur buccal;comprimé;TEVA PHARMA (PAYS-BAS)
ACTISKENAN 10 mg  gélule;gélule;ETHYPHARM
ACTISKENAN 20 mg  gélule;gélule;ETHYPHARM
ACTISKENAN 30 mg  gélule;gélule;ETHYPHARM
ACTISKENAN 5 mg  gélule;gélule;ETHYPHARM
ACTISOUFRE 4 mg/50 mg par 10 ml  suspension buvable ou pour instillation nasale;suspension buvable ou pour instillation;GRIMBERG
ACTISOUFRE  solution pour pulvérisation nasale/buccale en flacon pressurisé;solution pour pulvérisation;GRIMBERG
ACTIVELLE  comprimé pelliculé;comprimé pelliculé;NOVO NORDISK
ACTIVIR 5 POUR CENT  crème;crème;GLAXOSMITHKLINE SANTE GRAND PUBLIC
ACTIVOX EXPECTORANT LIERRE SANS SUCRE  pastille édulcorée l'isomalt et à l'acésulfame de potassium;pastille à sucer;ARKOPHARMA
ACTIVOX EXPECTORANT LIERRE  sirop;sirop;ARKOPHARMA
ACTIVOX RHUME PELARGONIUM  solution buvable;solution buvable;ARKOPHARMA
ACTONEL 30 mg  comprimé pelliculé;comprimé pelliculé;THERAMEX IRELAND (IRLANDE)
ACTONEL 35 mg  comprimé gastro-résistant;comprimé gastro-résistant(e);THERAMEX IRELAND (IRLANDE)
ACTONEL 35 mg  comprimé pelliculé;comprimé pelliculé;THERAMEX IRELAND (IRLANDE)
ACTONEL 35 mg  comprimé pelliculé;comprimé pelliculé;PHARMA LAB
ACTONEL 35 mg  comprimé pelliculé;comprimé pelliculé;BB FARMA (ITALIE)
ACTONEL 5 mg  comprimé pelliculé;comprimé pelliculé;THERAMEX IRELAND (IRLANDE)
ACTONEL 75 mg  comprimé pelliculé;comprimé pelliculé;THERAMEX IRELAND (IRLANDE)
ACTONEL 75 mg  comprimé pelliculé;comprimé pelliculé;PHARMA LAB
ACTONEL 75 mg  comprimé pelliculé;comprimé pelliculé;BB FARMA (ITALIE)
ACTONELCOMBI 35 mg + 1000 mg/880 UI  comprimé pelliculé et granulés effervescents;comprimé pelliculé et  granulés effervescent(e);THERAMEX IRELAND (IRLANDE)
ACTOSOLV 100 000 UI  poudre pour solution injectable/pour perfusion;poudre pour solution injectable pour perfusion;EUMEDICA PHARMACEUTICALS (ALLEMAGNE)
ACTOSOLV 600 000 UI  poudre pour solution injectable/pour perfusion;poudre pour solution injectable pour perfusion;EUMEDICA PHARMACEUTICALS (ALLEMAGNE)
ACTRAPID 100 unités internationales/ml  solution injectable;solution injectable;NOVO NORDISK (DANEMARK)
ACTRAPID PENFILL 100 unités internationales/ml  solution injectable en cartouche;solution injectable;NOVO NORDISK (DANEMARK)
ACTRON  comprimé effervescent;comprimé effervescent(e);BAYER HEALTHCARE
ACTYNOX 50 %/50 % v/v  gaz médicinal comprimé;gaz;AIR PRODUCTS
ACUILIX 20 mg/12 5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;PFIZER HOLDING FRANCE
ACUITEL 20 mg  comprimé enrobé sécable;comprimé enrobé sécable;PFIZER HOLDING FRANCE
ACUITEL 5 mg  comprimé enrobé sécable;comprimé enrobé sécable;PFIZER HOLDING FRANCE
ACULAR 0 5 %  collyre en solution;collyre;ALLERGAN FRANCE
ACUPAN  solution injectable;solution injectable;BIOCODEX
ADALATE 10 mg  capsule;capsule;BAYER HEALTHCARE
ADALATE 20 mg L.P.  comprimé à libération prolongée;comprimé à libération prolongée;BAYER HEALTHCARE
ADANCOR 10 mg  comprimé sécable;comprimé sécable;MERCK SANTE
ADANCOR 20 mg  comprimé;comprimé;MERCK SANTE
ADAPALENE TEVA 0 1 POUR CENT  crème;crème;TEVA SANTE
ADAPALENE ZENTIVA 0 1 %  gel;gel;ZENTIVA FRANCE
ADAPALENE ZENTIVA 0.1%  crème;crème;ZENTIVA FRANCE
ADARTREL 0 25 mg  comprimé pelliculé;comprimé pelliculé;GLAXOSMITHKLINE
ADARTREL 0 50 mg  comprimé pelliculé;comprimé pelliculé;GLAXOSMITHKLINE
ADARTREL 2 mg  comprimé pelliculé;comprimé pelliculé;GLAXOSMITHKLINE
ADASUVE 9 1 mg  poudre pour inhalation en récipient unidose;poudre pour inhalation;FERRER INTERNACIONAL (ESPAGNE)
ADCETRIS 50 mg  poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;TAKEDA PHARMA (DANEMARK)
ADCIRCA 20 mg  comprimé pelliculé;comprimé pelliculé;ELI LILLY NEDERLAND BV (PAY-BAS)
ADEMPAS 0 5 mg  comprimé pelliculé;comprimé pelliculé;BAYER AG (ALLEMAGNE)
ADEMPAS 1 mg  comprimé pelliculé;comprimé pelliculé;BAYER AG (ALLEMAGNE)
ADEMPAS 1 5 mg  comprimé pelliculé;comprimé pelliculé;BAYER AG (ALLEMAGNE)
ADEMPAS 2 mg  comprimé pelliculé;comprimé pelliculé;BAYER AG (ALLEMAGNE)
ADEMPAS 2 5 mg  comprimé pelliculé;comprimé pelliculé;BAYER AG (ALLEMAGNE)
ADENOSCAN 30 mg/10 mL  solution pour perfusion;solution pour perfusion;SANOFI AVENTIS FRANCE
ADENOSINE MEDISOL 6 mg/2 ml  solution injectable;solution injectable;MEDISOL
ADENURIC 120 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
ADENURIC 80 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
ADENYL 60 mg  comprimé;comprimé;H3 (HCUBE) PHARMA
ADEPAL  comprimé enrobé;comprimé enrobé et  comprimé enrobé enrobé;PFIZER HOLDING FRANCE
ADIAZINE 500 mg  comprimé;comprimé;BOUCHARA-RECORDATI
ADONIS VERNALIS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ADONIS VERNALIS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ADOPORT 0 5 mg  gélule;gélule;SANDOZ
ADOPORT 1 mg  gélule;gélule;SANDOZ
ADOPORT 2 mg  gélule;gélule;SANDOZ
ADOPORT 5 mg  gélule;gélule;SANDOZ
ADRENALINE AGUETTANT 0 1 mg/mL sans sulfite  solution injectable en seringue pré-remplie;solution injectable;AGUETTANT
ADRENALINE AGUETTANT 1 mg/mL SANS SULFITE  solution injectable;solution injectable;AGUETTANT
ADRENALINE AGUETTANT 1 mg/mL sans sulfite  solution injectable en seringue pré-remplie;solution injectable;AGUETTANT
ADRENALINE AGUETTANT 1 mg/ml  solution injectable en ampoule;solution injectable;AGUETTANT
ADRENALINE RENAUDIN 0 25 mg/ml  solution injectable en ampoule;solution injectable;LABORATOIRE RENAUDIN
ADRENALINE RENAUDIN 0 50 mg/ml  solution injectable;solution injectable;LABORATOIRE RENAUDIN
ADRENALINE RENAUDIN 1 mg/ml  solution injectable;solution injectable;LABORATOIRE RENAUDIN
ADRENALINE RENAUDIN 1 mg/ml  solution injectable en ampoule;solution injectable;LABORATOIRE RENAUDIN
ADRENALINUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ADRENALINUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ADREVIEW [123I] 74 MBq/mL  solution injectable;solution injectable;GE HEALTHCARE
ADRIBLASTINE 10 mg  poudre pour solution injectable en flacon;lyophilisat pour usage parentéral pour perfusion;PFIZER HOLDING FRANCE
ADRIBLASTINE 10 mg/5 ml  solution injectable pour perfusion en flacon;solution injectable pour perfusion;PFIZER HOLDING FRANCE
ADRIBLASTINE 200 mg/100 ml  solution injectable pour perfusion en flacon;solution injectable pour perfusion;PFIZER HOLDING FRANCE
ADRIBLASTINE 50 mg  poudre pour solution injectable en flacon;lyophilisat pour usage parentéral pour perfusion;PFIZER HOLDING FRANCE
ADRIBLASTINE 50 mg/25 ml  solution injectable pour perfusion en flacon;solution injectable pour perfusion;PFIZER HOLDING FRANCE
ADRIGYL 10 000 UI/ml  solution buvable en gouttes;solution buvable en gouttes;CRINEX
ADROVANCE 70 mg/2800 UI  comprimé;comprimé;MERCK SHARP & DOHME (PAYS-BAS)
ADROVANCE 70 mg/5600 UI  comprimé;comprimé;MERCK SHARP & DOHME (PAYS-BAS)
ADVAGRAF 0 5 mg  gélule à libération prolongée;gélule à libération prolongée;ASTELLAS PHARMA EUROPE (PAYS-BAS)
ADVAGRAF 1 mg  gélule à libération prolongée;gélule à libération prolongée;ASTELLAS PHARMA EUROPE (PAYS-BAS)
ADVAGRAF 3 mg  gélule à libération prolongée;gélule à libération prolongée;ASTELLAS PHARMA EUROPE (PAYS-BAS)
ADVAGRAF 5 mg  gélule à libération prolongée;gélule à libération prolongée;ASTELLAS PHARMA EUROPE (PAYS-BAS)
ADVATE 1000 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;BAXTER (AUTRICHE)
ADVATE 1500 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;BAXTER (AUTRICHE)
ADVATE 2000 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;BAXTER (AUTRICHE)
ADVATE 250 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;BAXTER (AUTRICHE)
ADVATE 3000 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;BAXTER (AUTRICHE)
ADVATE 500 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;BAXTER (AUTRICHE)
ADVIL 200 mg  comprimé enrobé;comprimé enrobé;PFIZER SANTE FAMILIALE
ADVIL 400 mg  comprimé enrobé;comprimé enrobé;PFIZER SANTE FAMILIALE
ADVILCAPS 200 mg  capsule molle;capsule molle;PFIZER SANTE FAMILIALE
ADVILCAPS 400 mg  capsule molle;capsule molle;PFIZER SANTE FAMILIALE
ADVILGEL 5 %  gel;gel;PFIZER SANTE FAMILIALE
ADVILMED 100 mg  comprimé enrobé;comprimé enrobé;PFIZER SANTE FAMILIALE
ADVILMED 400 mg  comprimé enrobé;comprimé enrobé;PFIZER SANTE FAMILIALE
ADVILMED 5 %  gel;gel;PFIZER SANTE FAMILIALE
ADVILMED ENFANTS ET NOURRISSONS 20 mg/1 ml  suspension buvable en flacon;suspension buvable;PFIZER SANTE FAMILIALE
ADYNOVI 2000 UI/5 ml  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;BAXALTA INNOVATIONS (AUTRICHE)
AERIUS 0 5 mg/ml  solution buvable;solution buvable;MERCK SHARP & DOHME (PAYS-BAS)
AERIUS 5 mg  comprimé pelliculé;comprimé pelliculé;MERCK SHARP & DOHME (PAYS-BAS)
AERRANE  liquide pour inhalation par vapeur;liquide pour inhalation par vapeur;BAXTER
AESCULUS COMPLEXE N°103  solution buvable en gouttes;solution buvable en gouttes;LEHNING
AESCULUS GLABRA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AESCULUS HIPPOCASTANUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AESCULUS HIPPOCASTANUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
AESCULUS HIPPOCASTANUM WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  crème et  solution en gouttes en gouttes;WELEDA
AETHIOPS MERCURIALIS MINERALIS BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AETHIOPS MERCURIALIS MINERALIS LEHNING  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
AETHUSA CYNAPIUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AETHUSA CYNAPIUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
AETOXISCLEROL 1 % (20 mg/2 mL)  solution injectable;solution injectable;KREUSSLER & CO ALLEMAGNE
AETOXISCLEROL TAMPONNE 0 25 POUR CENT (5 mg/2 ml)  solution injectable (I.V.) en ampoule;solution injectable;KREUSSLER & CO ALLEMAGNE
AETOXISCLEROL TAMPONNE 0 5 POUR CENT (10 mg/2 ml)  solution injectable (IV) en ampoule;solution injectable;KREUSSLER & CO ALLEMAGNE
AETOXISCLEROL TAMPONNE 2 POUR CENT (40 mg/2 ml)  solution injectable (IV) en ampoule;solution injectable;KREUSSLER & CO ALLEMAGNE
AETOXISCLEROL TAMPONNE 3 POUR CENT (60 mg/2 ml)  solution injectable (IV) en ampoule;solution injectable;KREUSSLER & CO ALLEMAGNE
AFINITOR 10 mg  comprimé;comprimé;NOVARTIS EUROPHARM (IRLANDE)
AFINITOR 2 5 mg  comprimé;comprimé;NOVARTIS EUROPHARM (IRLANDE)
AFINITOR 5 mg  comprimé;comprimé;NOVARTIS EUROPHARM (IRLANDE)
AFSTYLA 1000 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
AFSTYLA 1500 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
AFSTYLA 2000 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
AFSTYLA 250 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
AFSTYLA 2500 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
AFSTYLA 3000 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
AFSTYLA 500 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
AFTAGEL  gel buccal;gel;COOPER
AFTOSIUM  comprimé sublingual;comprimé;FERRIER
AGARICUS BULBOSUS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AGARICUS BULBOSUS LEHNING  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
AGARICUS BULBOSUS WELEDA  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
AGARICUS MUSCARIUS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AGARICUS MUSCARIUS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
AGARICUS MUSCARIUS WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
AGAVE AMERICANA BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AGIOLAX  granulés;granulés;LABORATOIRES MADAUS
AGNUS CASTUS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AGNUS CASTUS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
AGNUS CASTUS WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
AGOMELATINE BIOGARAN 25 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
AGOMELATINE CRISTERS 25 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
AGOMELATINE EG 25 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
AGOMELATINE MYLAN 25 mg  comprimé;comprimé pelliculé;MYLAN SAS
AGOMELATINE ZENTIVA 25 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
AGOMÉLATINE HCS 25 mg  comprimé pelliculé;comprimé pelliculé;HCS (BELGIQUE)
AGRAPHIS NUTANS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AGRAPHIS NUTANS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
AGRASTAT 250 microgrammes/ml  solution à diluer pour perfusion;solution à diluer pour perfusion;CORREVIO
AGRASTAT 50 microgrammes/ml  solution pour perfusion;solution pour perfusion;CORREVIO
AGRIMONIA EUPATORIA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AGRIPPAL  suspension injectable en seringue préremplie. Vaccin grippal inactivé (antigènes de surface);suspension injectable;SEQIRUS (ITALIE
AGYRAX  comprimé sécable;comprimé sécable;GEN.ORPH
AILANTHUS GLANDULOSA BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
AILANTHUS GLANDULOSA LEHNING  degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
AIROMIR AUTOHALER 100 microgrammes/dose  suspension pour inhalation en flacon pressurisé;suspension pour inhalation;TEVA SANTE
AKINETON L.P. 4 mg  comprimé enrobé à libération prolongée;comprimé enrobé à libération prolongée;DESMA PHARMA
AKYNZEO 300 mg/0 5 mg  gélule;gélule;HELSINN BIREX PHARMACEUTICALS
ALAIRGIX ALLERGIE CETIRIZINE 10 mg  comprimé à sucer sécable;comprimé à sucer sécable;COOPER
ALAIRGIX RHINITE ALLERGIQUE CROMOGLICATE DE SODIUM 2 %  solution pour pulvérisation nasale;solution pour pulvérisation;COOPER
ALBEY VENIN D'ABEILLE Apis mellifera 550 microgrammes  poudre et solvant pour solution injectable;poudre et  solvant et  solvant pour solution injectable;STALLERGENES
ALBUMINE HUMAINE BAXTER BIOSCIENCE 200 g/l  solution pour perfusion;solution pour perfusion;BAXALTA INNOVATIONS (AUTRICHE)
ALBUNORM 20 %  200 g/l  solution pour perfusion;solution pour perfusion;OCTAPHARMA FRANCE
ALBUNORM 4 %  40 g/l  solution pour perfusion;solution pour perfusion;OCTAPHARMA FRANCE
ALBUNORM 5 %  50 g/l  solution pour perfusion;solution pour perfusion;OCTAPHARMA FRANCE
ALCAPHOR  solution buvable;solution buvable;PHARMA DEVELOPPEMENT
ALCHEMILLA VULGARIS BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ALCOOL A USAGE MEDICAL GILBERT 0 5 ml  compresse imprégnée;compresse imprégné(e);GILBERT
ALCOOL A USAGE MEDICAL GILBERT 2 5 ml  compresse imprégnée;compresse imprégné(e);GILBERT
ALCOOL A USAGE MEDICAL GILBERT  solution pour application locale;solution pour application;GILBERT
ALCOOL MODIFIE COOPER  solution pour application cutanée;solution pour application;COOPER
ALCOOL MODIFIE EVOLUPHARM  solution pour application cutanée;solution pour application;EVOLUPHARM
ALCOOL MODIFIE GIFRER  solution pour application cutanée;solution pour application;GIFRER BARBEZAT
ALDACTAZINE  comprimé sécable;comprimé sécable;PFIZER HOLDING FRANCE
ALDACTONE 25 mg  comprimé sécable;comprimé sécable;PFIZER HOLDING FRANCE
ALDACTONE 50 mg  comprimé sécable;comprimé sécable;PFIZER HOLDING FRANCE
ALDACTONE 75 mg  comprimé sécable;comprimé sécable;PFIZER HOLDING FRANCE
ALDARA 5 %  crème;crème;MEDA (SUEDE)
ALDIREK 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ACTAVIS GROUP PTC (ISLANDE)
ALDOMET 250 mg  comprimé enrobé;comprimé enrobé;IROKO PRODUCTS LIMITED (ROYAUME-UNI)
ALDOMET 500 mg  comprimé enrobé;comprimé enrobé;IROKO PRODUCTS LIMITED (ROYAUME-UNI)
ALDOSTERONE BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ALDURAZYME 100 U/ml  solution à diluer pour perfusion;solution à diluer pour perfusion;GENZYME EUROPE (PAYS BAS)
ALDYZINE  solution dentaire;solution;LABORATOIRE ATO-ZIZINE
ALECENSA 150 mg  gélule;gélule;ROCHE REGISTRATION (ALLEMAGNE)
ALENDRONATE TEVA 10 mg  comprimé;comprimé;TEVA SANTE
ALEPSAL 100 mg  comprimé;comprimé;TEOFARMA
ALEPSAL 15 mg  comprimé;comprimé;TEOFARMA
ALEPSAL 150 mg  comprimé;comprimé;TEOFARMA
ALEPSAL 50 mg  comprimé;comprimé;TEOFARMA
ALETRIS FARINOSA BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
ALETRIS FARINOSA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
ALEVETABS 220 mg  comprimé pelliculé;comprimé pelliculé;BAYER HEALTHCARE
ALFA-AMYLASE BIOGARAN CONSEIL 200 U.CEIP/ml  sirop;sirop;TOP PHARM
ALFA-AMYLASE BIOGARAN CONSEIL 3 000 U.CEIP  comprimé enrobé;comprimé enrobé;TOP PHARM
ALFA-AMYLASE TOP PHARM 200 U.CEIP/ml  sirop;sirop;TOP PHARM
ALFA-AMYLASE TOP PHARM 3000 U.CEIP  comprimé enrobé;comprimé enrobé;TOP PHARM
ALFACALCIDOL THERAMEX 0 25 microgramme  capsule molle;capsule molle;THERAMEX IRELAND (IRLANDE)
ALFACALCIDOL THERAMEX 1 microgramme  capsule molle;capsule molle;THERAMEX IRELAND (IRLANDE)
ALFALASTIN 33 33 mg/ml  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;LFB-BIOMEDICAMENTS
